Generation,evals,avg,std,min,max,best_one,fitness_best_one
134,330,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
135,338,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
136,316,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
137,328,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
138,346,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
139,346,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
140,356,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
141,342,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
142,344,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
143,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
144,360,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
145,320,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
146,342,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
147,346,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
148,360,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
149,344,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
150,332,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
151,346,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
152,350,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
153,338,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
154,338,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
155,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
156,348,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
157,342,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
158,346,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
159,328,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
160,346,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
161,356,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
162,362,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
163,338,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
164,338,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
165,330,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
166,316,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
167,344,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
168,342,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
169,346,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
170,354,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
171,342,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
172,348,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
173,328,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
174,334,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
175,334,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
176,350,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
177,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
178,360,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
179,356,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
180,344,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
181,342,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
182,334,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
183,346,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
184,330,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
185,342,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
186,336,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
187,344,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
188,344,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
189,336,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
190,350,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
191,354,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
192,344,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
193,352,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
194,354,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
195,330,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
196,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
197,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
198,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
199,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
200,322,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
